SubjectID;Condition;Medium;Ending;Interactivity;Earning;Donation;Percentage;AssICRC;EmbodyAv;Age;Gender;ExperienceVR;Student;Socioeconomic;FamiliarICRC;DonatedICRC;LinkICRC;Angry;Afraid;Excited;Disgusted;Sad;Stressed;Moved;Bored;Calm;Proud;Joyful;Stimulating;Enriching;Pleasant;Vivid;Moving;Engaging;Educational;Interesting;AspectsInspiringDonations;RegularDon;sp1;sp2;sp3;spAV;em1;em2;emAV;im1;im2;im3;imAV;M1;M2;M3;M4;malAV;SE1;SE2;SE3;seAV;Mor;Nat;G1;G2;G3;gAV;SS1;SS2;SS3;SS4;SS5;SS6;SS7;SS8;ssAV;TM_Base;TM_P1;TM_P2;TM_End;TM_P1_Delta;TM_P2_Delta;TM_End_Delta;EC_Base;EC_P1;EC_P2;EC_End;EC_P1_Delta;EC_P2_Delta;EC_End_Delta;Pamp_Base;Pamp_P1;Pamp_P2;Pamp_End;Pamp_P1_Delta;Pamp_P2_Delta;Pamp_End_Delta;AOC_Baseline;AOC_P1;AOC_P2;AOC_End;AOC_P1_Delta;AOC_P2_Delta;AOC_End_Delta;HR_Amp_Base;HR_Amp_P1;HR_Amp_P2;HR_Amp_End;HR_Amp_P1_Delta;HR_Amp_P2_Delta;HR_Amp_End_Delta;BPM_Base;BPM_P1;BPM_P2;BPM_End;BPM_P1_Delta;BPM_P2_Delta;BPM_End_Delta;TM_ex;TM_ex_Delta;EC_ex;EC_ex_Delta;Pamp_ex;Pamp_ex_Delta;AOC_ex;AOC_ex_Delta;HR_Amp_ex;HR_Amp_ex_Delta;BPM_ex;BPM_ex_Delta
11012610;1;1;0;1;9.7;5.2;53.60824742;0.675437;0.558632;22;1;1;Yes;1;2;2;N;1;4;5;4;4;5;4;2;1;2;1;4;4;2;4;5;4;4;4;"Les emotions negatifs comme la tristesse, etre sou meme dans une sitiation difficile""";Maybe;2;4;2;2.666666667;4;5;4.5;4;4;3;3.666666667;2;2;3;2;2.25;3;1;4;2.666666667;4;1;4;5;2;3.666666667;4;4;2;3;4;4;3;2;3.25;6.888228717;9.283561359;7.886278459;7.235599912;2.395332642;0.998049742;0.347371195;0.058197539;0.073081608;0.051581843;0.064977258;0.014884069;-0.006615696;0.006779719;0.18956126;0.40181857;0.114949673;0.03897299;0.21225731;-0.074611587;-0.15058827;6.893544849;9.272725954;7.88807939;7.223861735;2.379181105;0.994534541;0.330316886;0.164777194;0.06215711;0.093848336;0.086080557;-0.102620085;-0.070928858;-0.078696637;83.00354431;87.98988622;105.2264247;100.2178649;4.986341912;22.22288041;17.21432062;8.584919909;1.696691192;0.062331725;0.004134186;0.258384121;0.068822862;8.580402672;1.686857823;0.078002723;-0.086774471;96.60815547;13.60461116
11080410;1;1;0;1;12.7;0;0;1;0.32;19;1;0;Yes;1;2;0;N;5;3;3;2;5;5;5;1;2;1;1;4;4;1;5;5;3;2;4;Selon moi  aucun car je penses que si la réalité virtuelle representait un evenement joyeux  jaurai plus envie de faire un don;Maybe;1;3;1;1.666666667;4;4;4;5;5;4;4.666666667;3;1;3;5;3;4;4;3;3.666666667;3;3;2;3;3;2.666666667;3;5;3;1;2;5;5;3;3.375;4.475035366;6.863113676;6.181174952;5.985660085;2.38807831;1.706139586;1.510624719;0.017076503;0.07043907;0.040883074;0;0.053362567;0.023806572;-0.017076503;0.025241633;0.234587046;0.028398386;;0.209345413;0.003156753;;4.473394746;6.880192526;6.180621007;5.983503514;2.406797781;1.707226262;1.510108768;0.12525238;0.111388885;0.113721621;0.105519778;-0.013863495;-0.01153076;-0.019732602;86.61825726;98.05924413;103.0997768;94.54545455;11.44098687;16.48151954;7.927197284;6.522144314;2.047108948;0.055661072;0.03858457;0.131492716;0.106251083;6.530406767;2.057012021;0.112555253;-0.012697127;100.5795105;13.9612532
11470510;1;1;0;1;12.3;6.3;51.2195122;0.81;0.5;24;0;1;Yes;1;2;2;N;1;1;3;2;2;3;2;2;2;3;1;3;3;3;3;2;4;4;4;Le realisme l'urgence;Maybe;2;3;2;2.333333333;4;4;4;3;3;1;2.333333333;3;1;1;4;2.25;3;3;4;3.333333333;5;5;5;4;1;3.333333333;4;1;3;1;3;3;5;3;2.875;6.112078935;6.402590323;5.944038742;5.735975946;0.290511388;-0.168040193;-0.376102989;0.072850898;0.099453008;0.064495324;0;0.02660211;-0.008355574;-0.072850898;0.08773231;0.038276317;0.024143307;;-0.049455993;-0.063589002;;6.117491678;6.405742526;5.942094752;5.733032036;0.288250848;-0.175396926;-0.384459642;0.035276315;0.069909332;0.080661195;0.07939988;0.034633017;0.04538488;0.044123565;68.90525527;77.0981127;77.94175229;74.64114833;8.192857428;9.036497013;5.735893051;6.173314532;0.061235598;0.081974166;0.009123268;0.031209812;-0.056522497;6.173918639;0.056426961;0.075285264;0.040008949;77.51993249;8.614677221
11641210;1;1;0;1;9.7;1;10.30927835;0.847436;0.630041;18;1;1;Yes;1;2;1;N;1;1;2;1;3;4;3;1;3;2;3;5;4;4;5;3;4;5;5;Le cote amenant a se positionner dans une situation de conflit armé, avec des innocents comme nous pourrions l etre et donc vouloir aider ces personnes qui le vivent;Maybe;3;4;2;3;4;4;4;4;5;4;4.333333333;1;1;1;1;1;2;4;4;3.333333333;4;1;5;5;1;3.666666667;5;2;5;5;5;4;5;5;4.5;4.383143046;7.566599848;7.367754927;6.988055929;3.183456801;2.984611881;2.604912883;0.090505183;0.130519904;0.108064298;0.173310225;0.040014721;0.017559115;0.082805042;0.054394202;0.214046642;0.148895632;0.048914232;0.15965244;0.09450143;-0.00547997;4.382734935;7.584657596;7.371613285;6.98655435;3.201922661;2.98887835;2.603819415;;;;;0;0;0;;;;;0;0;;7.467177387;3.084034341;0.119292101;0.028786918;0.181471137;0.127076935;7.478135441;3.095400506;;;;
11700710;1;1;0;1;9;6.5;72.22222222;0.624289;0.82189;30;0;2;Yes;1;2;0;N;2;3;1;4;4;3;3;1;4;3;1;3;3;1;3;3;3;4;3;La réprésentation en 3D de la violence et la transmission virtuelle d'une expérience de guerre.;Maybe;2;3;3;2.666666667;4;4;4;4;3;3;3.333333333;4;3;2;5;3.5;1;4;3;2.666666667;3;4;1;1;4;2;4;2;3;3;4;4;3;3;3.25;15.92004763;19.11114533;17.97339365;17.69514808;3.191097703;2.05334602;1.775100455;0.132905949;0.223463687;0.165587837;0.117508813;0.090557738;0.032681887;-0.015397136;0.426479548;0.340409827;0.350903654;0.262894975;-0.086069721;-0.075575895;-0.163584573;15.93169177;19.0932807;17.98522972;17.70700374;3.161588931;2.053537948;1.775311975;0.879965909;0.222111016;0.391235167;0.221856476;-0.657854893;-0.488730742;-0.658109433;86.73670906;101.4768359;98.58894467;89.10891089;14.74012687;11.85223561;2.37220183;18.54226949;2.622221862;0.194525762;0.061619812;0.34565674;-0.080822808;18.53925521;2.607563439;0.306673092;-0.573292817;100.0328903;13.29618124
12020710;1;1;0;1;9.9;4.9;49.49494949;0.757482;0.686237;19;0;2;Yes;2;1;0;N;1;1;3;1;2;3;2;1;2;2;2;1;2;3;4;2;3;2;3;Le manque de moyen (le materiel par exemple) des personnes qui apportent leur aide dans les situations dangereuse.;Yes;3;1;2;2;2;1;1.5;3;3;4;3.333333333;1;1;1;1;1;1;1;1;1;1;4;1;1;5;2.333333333;1;1;4;4;2;4;4;3;2.875;8.754677618;8.145767652;8.055788152;7.931210857;-0.608909966;-0.698889466;-0.82346676;0.065870729;0.065245759;0.01473405;0;-0.00062497;-0.051136678;-0.065870729;0.074090372;0.028551769;0.022236622;;-0.045538603;-0.051853751;;8.761984076;8.145656375;8.054858192;7.930982053;-0.616327701;-0.707125884;-0.831002022;0.067219909;0.106965186;0.22091663;0.089671529;0.039745277;0.153696721;0.02245162;75.48112972;83.44405192;;76.38888889;7.962922205;;0.907759171;8.100777902;-0.653899716;0.039989905;-0.025880824;0.025394195;-0.048696177;8.100257283;-0.661726792;0.163940908;0.096720999;;
12031210;1;1;0;1;9.9;3.7;37.37373737;0.744151;0.807527;19;1;1;Yes;1;2;0;N;1;3;4;1;1;3;4;1;2;2;1;5;4;4;4;4;5;5;5;Oui;Maybe;5;3;1;3;4;4;4;5;4;4;4.333333333;1;1;1;1;1;1;2;3;2;4;1;4;2;3;3;5;5;4;1;4;4;5;1;3.625;7.182930232;8.380556062;7.955170808;7.887827621;1.197625831;0.772240576;0.704897389;0.049891901;0.086244071;0.073300348;0.063694268;0.03635217;0.023408447;0.013802367;0.152422245;0.145311699;0.121880231;0.092805558;-0.007110546;-0.030542015;-0.059616687;7.186397538;8.39054381;7.962077981;7.896399019;1.204146272;0.775680443;0.710001481;0.212587957;0.130815662;0.115063001;0.15934209;-0.081772295;-0.097524956;-0.053245867;68.59175205;87.27910318;97.18927827;79.83193277;18.68735113;28.59752622;11.24018072;8.167863435;0.984933203;0.079772209;0.029880309;0.133595965;-0.01882628;8.176310895;0.989913357;0.122939331;-0.089648626;92.23419073;23.64243867
12110410;1;1;0;1;9.1;9.1;100;;;24;1;0;Yes;1;1;0;N;1;1;1;1;5;4;2;1;1;1;1;5;5;1;5;4;5;5;5;Cette experience inciterait les gens a faire un don car c est une situation reelle de la vie et les emotions qu on peut ressentir impacte notre comportement;Yes;5;5;4;4.666666667;1;5;3;5;5;5;5;3;1;1;2;1.75;3;1;4;2.666666667;4;4;3;3;3;3;4;4;2;2;3;4;4;3;3.25;5.428766472;6.07081675;6.089618209;5.877477937;0.642050279;0.660851738;0.448711466;0.057760541;0.082270671;0.037617555;0;0.024510129;-0.020142986;-0.057760541;0.040144599;0.020528115;0.029199411;;-0.019616484;-0.010945188;;5.428768489;6.07082545;6.089625843;5.877473297;0.642056961;0.660857354;0.448704808;0.06945897;0.078021911;0.121695449;0.078611091;0.00856294;0.052236479;0.009152121;67.32540613;97.84655465;106.0986273;86.06557377;30.52114852;38.77322117;18.74016764;6.08021748;0.651451008;0.059944113;0.002183571;0.024863763;-0.015280836;6.080225647;0.651457158;0.09985868;0.03039971;101.972591;34.64718484
12140410;1;1;0;1;12;5.1;42.5;0.64;0.73;20;1;2;Yes;3;2;0;N;2;2;1;1;3;3;3;1;2;2;1;3;4;3;4;3;4;3;4;aider les peuples qui en ont besoin en raison des conflits/guerres sur leurs territoires;Maybe;4;4;4;4;3;5;4;3;3;3;3;1;1;5;1;2;3;4;4;3.666666667;5;1;5;5;1;3.666666667;4;5;3;1;4;4;4;1;3.25;8.080667312;13.81449021;12.09632548;11.38330566;5.733822901;4.015658167;3.302638348;0.083015109;0.197433366;0.110028293;0.162206002;0.114418257;0.027013184;0.079190893;0.492943784;0.363787552;0.218245742;0.136061261;-0.129156232;-0.274698042;-0.356882523;8.075588555;13.87286785;12.11324131;11.43730059;5.797279293;4.037652755;3.361712037;0.05638359;0.216183322;0.204063346;0.162492608;0.159799732;0.147679756;0.106109018;90.63444109;93.94572025;92.47569067;85.48530721;3.311279163;1.841249577;-5.149133875;12.95540785;4.874740534;0.15373083;0.070715721;0.291016647;-0.201927137;12.99305458;4.917466024;0.210123334;0.153739744;93.21070546;2.57626437
12261210;1;1;0;1;6.2;0;0;0.619976;0.769357;26;1;2;Yes;1;2;0;N;5;5;5;3;5;4;3;2;1;2;1;5;3;1;5;5;3;1;5;;Yes;3;3;4;3.333333333;4;5;4.5;5;5;5;5;4;4;4;4;4;3;3;4;3.333333333;3;4;3;4;4;3.666666667;5;5;5;1;5;5;5;5;4.5;10.48431333;14.53189505;14.29742773;13.91958367;4.04758172;3.813114405;3.435270343;0.141242938;0.108766587;0.157645822;0.248756219;-0.032476351;0.016402885;0.107513281;0.299399369;0.34777372;0.187938691;0.19840418;0.048374351;-0.111460678;-0.100995189;10.4876616;14.56575617;14.31915994;13.93586587;4.078094573;3.831498337;3.448204272;0.176140142;0.191828705;0.325551353;0.271308523;0.015688564;0.149411211;0.095168382;84.57085326;82.94314381;80.65971112;89.12896691;-1.627709447;-3.911142136;4.558113655;14.41466139;3.930348062;0.133206205;-0.008036733;0.267856206;-0.031543164;14.44245805;3.954796455;0.258690029;0.082549888;81.80142747;-2.769425791
